IDuser,CustomerName,Location,IDhotel,NameHotel,Rating,Date
9816,Truong N. H.,Đà Lạt,310,Khách sạn Ngọc Mai Phú Đà Lạt,6,2014-01-30
10454,Vo N. H. Y.,Nha Trang,298,Khách sạn Mường Thanh Grand Nha Trang,6,2014-02-01
9361,Tran T. M. T.,Đà Lạt,317,Khách sạn Park Đà Lạt,7.3,2014-02-02
7644,Tang H. T.,Đà Lạt,404,Lys Villa Đà Lạt ( tên cũ Reveto Villa Đà Lạt),6,2014-02-02
5502,Nguyen D. T.,Đà Lạt,404,Lys Villa Đà Lạt ( tên cũ Reveto Villa Đà Lạt),6.3,2014-02-02
6761,Phan T. H.,Hội An,168,Khu nghỉ dưỡng Hội An Beach,8.3,2014-02-06
5822,Nguyen T.,Đà Lạt,31,Biệt thự Khánh Lâm Đà Lạt,6.7,2014-02-08
3825,Le G. T.,Phan Thiết,476,Romana Resort & Spa Phan Thiết,7.3,2014-02-08
7524,Ta T. K. N.,Đà Lạt,405,Làng Biệt thự Osaka Đà Lạt,7.7,2014-02-08
2241,Hary I.,Huế,242,Khách sạn Eldora Huế,10,2014-02-08
5688,Nguyen M. L.,Đà Nẵng,225,Khách sạn A La Carte Đà Nẵng,10,2014-02-09
9199,Tran M. H.,Hội An,168,Khu nghỉ dưỡng Hội An Beach,8,2014-02-10
5853,Nguyen T. D. T.,Đà Lạt,237,Khách sạn Cẩm Tú Cầu Đà Lạt,6.7,2014-02-14
9380,Tran T. P. T.,Đà Lạt,404,Lys Villa Đà Lạt ( tên cũ Reveto Villa Đà Lạt),7.3,2014-02-14
7557,Takizawa A.,Huế,114,Hương Giang Hotel Resort & Spa Huế,6,2014-02-17
5707,Nguyen N.,Đà Lạt,237,Khách sạn Cẩm Tú Cầu Đà Lạt,6,2014-02-22
3951,Le N. T.,Đà Lạt,237,Khách sạn Cẩm Tú Cầu Đà Lạt,8,2014-02-24
5862,Nguyen T. H. D.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,6.3,2014-02-27
355,Bui D. L.,Phú Quốc,379,Khách sạn Đông Xuân Hồng Phú Quốc,6,2014-03-01
4427,Luong A. T.,Huế,330,Khách sạn Rosaleen Boutique Huế,7,2014-03-02
997,Dao H. N.,Đà Lạt,404,Lys Villa Đà Lạt ( tên cũ Reveto Villa Đà Lạt),6.7,2014-03-02
3113,Huynh K. N.,Đà Lạt,371,Khách sạn Xuân Hồng 2 Đà Lạt,5.7,2014-03-02
6789,Phan T. P. U.,Nha Trang,347,Khách sạn Sun City Nha Trang,8,2014-03-02
6736,Phan N. T.,Phan Thiết,193,Khu nghỉ dưỡng Pandanus Phan Thiết,7.7,2014-03-05
5866,Nguyen T. H. M.,Đà Lạt,349,Khách sạn Sài Gòn Đà Lạt,7.7,2014-03-05
9570,Trinh H. A.,Phan Thiết,215,Khu nghỉ dưỡng The Sailing Bay Beach Phan Thiết,9.7,2014-03-05
5528,Nguyen H. D. Q.,Huế,242,Khách sạn Eldora Huế,8,2014-03-10
7641,Tang H.,Hội An,76,Green Field Villas Hội An,8.3,2014-03-13
7474,Song T. L.,Đà Lạt,404,Lys Villa Đà Lạt ( tên cũ Reveto Villa Đà Lạt),6.3,2014-03-14
5572,Nguyen H. T.,Phú Quốc,65,Famiana Resort & Spa Phú Quốc,6.3,2014-03-14
6089,Nguyẽn T. H.,Phan Thiết,215,Khu nghỉ dưỡng The Sailing Bay Beach Phan Thiết,7.3,2014-03-19
4055,Le T. N.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6.3,2014-03-21
6676,Pham X. T. T.,Đà Lạt,237,Khách sạn Cẩm Tú Cầu Đà Lạt,7,2014-03-24
6098,Nguyẽn T. T. T.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,7,2014-03-25
5857,Nguyen T. H.,Đà Nẵng,299,Khách sạn Mường Thanh Grand Đà Nẵng,8.7,2014-03-28
5783,Nguyen P. L.,Đà Lạt,371,Khách sạn Xuân Hồng 2 Đà Lạt,7.3,2014-03-28
4013,Le T. D.,Phú Quốc,379,Khách sạn Đông Xuân Hồng Phú Quốc,4,2014-03-29
5682,Nguyen M. H.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,7,2014-03-31
10551,Vu D. L.,Vũng Tàu,256,Khách sạn Green Vũng Tàu,7.3,2014-04-01
1023,Dao T. H. H.,Vũng Tàu,271,Khách sạn InterContinental Grand Hồ Tràm,6,2014-04-01
2432,Ho V. D.,Hội An,192,Khu nghỉ dưỡng Palm Garden Beach Hội An,7.3,2014-04-02
5822,Nguyen T.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,10,2014-04-04
5120,Ngo B. T.,Phan Thiết,193,Khu nghỉ dưỡng Pandanus Phan Thiết,6.7,2014-04-05
10554,Vu G. H.,Đà Lạt,237,Khách sạn Cẩm Tú Cầu Đà Lạt,7.3,2014-04-07
5916,Nguyen T. N. A.,Phú Quốc,128,Khu Nghỉ Dưỡng La Mer Phú Quốc,6,2014-04-09
